Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,_version:1,_order:1100
55c7bd09-be53-4fe4-a983-536942a6af4f,,,Yellow Fver,,Yellow Fver,,Yellow Fver,,Misc,N/A,,,,,
839a9bb4-11e6-4154-9eb5-53df25c366df,,,Tetanus,,Tetanus,,Tetanus,,Misc,N/A,,,,,
74efd4af-4557-4b87-89ab-17aa4456484f,,,Measle,,Measle,,Measle,,Misc,N/A,,,,,
ca974f32-d6a4-45f9-a8c6-9141997dc769,,,Varicella (chickenpox),,Varicella (chickenpox),,Varicella (chickenpox),,Misc,N/A,,,,,
53f61311-258f-4ce8-9d91-6a0e97b6a8fe,,,Whooping Cough(Pertussis),,Whooping Cough(Pertussis),,Whooping Cough(Pertussis),,Misc,N/A,,,,,
77f25654-56b6-495b-9768-5da6ad795e1d,,,Maternal and neonatal disorders,,Maternal and neonatal disorders,,Maternal and neonatal disorders,,Misc,N/A,,,,,
c4802b0f-8654-4417-a469-b8e24966a681,,,Maternal Hemorrhage,,Maternal Hemorrhage,,Maternal Hemorrhage,,Misc,N/A,,,,,
6a11c16e-c9a4-43ca-9996-c5a60c59d834,,,Maternal sepsis and other pregnacy related infection,,Maternal sepsis and other pregnacy related infection,,Maternal sepsis and other pregnacy related infection,,Misc,N/A,,,,,
03f38860-5cf0-44bc-be17-9f44a403b0f7,,,Maternal hypertensive disorder,,maternal hypertensive disorder,,maternal hypertensive disorder,,Misc,N/A,,,,,
6058cabc-e73a-48e8-84a3-52c62ec12528,,,Maternal obstructed labour and Uterine rupture,,Maternal obstructed labour and Uterine rupture,,Maternal obstructed labour and Uterine rupture,,Misc,N/A,,,,,
49c6744c-281c-4d25-84c9-1d2fa27b62a8,,,Late maternal deaths,,Late maternal deaths,,Late maternal deaths,,Misc,N/A,,,,,
0513039c-93c4-40f5-8037-dede10e0a691,,,Maternal Abortive outcome,,Maternal Abortive outcome,,Maternal Abortive outcome,,Misc,N/A,,,,,
d2eb5bb2-1fd5-475a-9797-a0fb5e6cc0f1,,,Neonatal preterm birth,,Neonatal preterm birth,,Neonatal preterm birth,,Misc,N/A,,,,,
0a7b42ab-8333-4ef1-8f50-1697bf3ef8c8,,,Neonatal encephalopathy due to birth asphyxia and trauma,,Neonatal encephalopathy due to birth asphyxia and trauma,,Neonatal encephalopathy due to birth asphyxia and trauma,,Misc,N/A,,,,,
431a43ca-eabc-419b-8b6b-09255ca98fcc,,,Neonatal sepsis and other neonatal infection,,Neonatal sepsis and other neonatal infection,,Neonatal sepsis and other neonatal infection,,Misc,N/A,,,,,
ac8c4375-c265-4ef6-83ad-112ab9615b10,,,Hemolytic disease and other neonatal jaundice,,Hemolytic disease and other neonatal jaundice,,Hemolytic disease and other neonatal jaundice,,Misc,N/A,,,,,
2572b12e-1c6d-49c1-8c53-bdde647fc103,,,Other neotanal disorder,,Other neotanal disorder,,Other neotanal disorder,,Misc,N/A,,,,,
1cc4c510-9ce0-43c7-9c27-334edfbe22eb,,,Neonatal Jaundice,,Neonatal Jaundice,,Neonatal Jaundice,,Misc,N/A,,,,,
d9efb1da-bdeb-4a8b-99e6-55e94d6dd441,,,Genetic Diseases,,Genetic Diseases,,Genetic Diseases,,Misc,N/A,,,,,
de3bad5f-1713-452d-8364-1b1d2836118c,,,Cardiomyopathy and Myocarditis,,Cardiomyopathy and Myocarditis,,Cardiomyopathy and Myocarditis,,Misc,N/A,,,,,
0f1753da-5625-45c9-b875-a67011bb4250,,,Endocariditits,,Endocariditits,,Endocariditits,,Misc,N/A,,,,,
7eb7da32-e987-4b92-91b8-04f793febc8c,,,Aortic aneurysm,,Aortic aneurysm,,Aortic aneurysm,,Misc,N/A,,,,,
021d7107-1e2d-4d20-98a0-3228d9038f9f,,,Atrial fibrillation and flutter,,Atrial fibrillation and flutter,,Atrial fibrillation and flutter,,Misc,N/A,,,,,
aa0d40fb-bf64-4ff3-bc6a-7297721df832,,,Peripheral Vascular disease,,Peripheral Vascular disease,,Peripheral Vascular disease,,Misc,N/A,,,,,
9bfbc53a-5cd4-44eb-bbeb-1f2a45c59459,,,Other cardiovascular and circulatory disease,,Other cardiovascular and circulatory disease,,Other cardiovascular and circulatory disease,,Misc,N/A,,,,,
